County,Year,Deaths,State
Acadia Parish,2003,11, LA
Ada County,2003,17, ID
Adams County,2003,42, CO
Aiken County,2003,10, SC
Alachua County,2003,11, FL
Alameda County,2003,124, CA
Allegany County,2003,15, MD
Allegheny County,2003,197, PA
Anchorage Borough,2003,31, AK
Anderson County,2003,12, SC
Anderson County,2003,10, TN
Anne Arundel County,2003,41, MD
Anoka County,2003,11, MN
Arapahoe County,2003,45, CO
Ascension Parish,2003,11, LA
Atlantic County,2003,34, NJ
Baldwin County,2003,10, AL
Baltimore County,2003,157, MD
Baltimore city,2003,273, MD
Barnstable County,2003,21, MA
Bay County,2003,21, FL
Beaver County,2003,20, PA
Bedford County,2003,11, PA
Bell County,2003,15, KY
Benton County,2003,10, WA
Bergen County,2003,55, NJ
Berkeley County,2003,17, WV
Berks County,2003,27, PA
Bernalillo County,2003,144, NM
Bexar County,2003,163, TX
Bibb County,2003,13, GA
Blair County,2003,21, PA
Blount County,2003,14, TN
Boone County,2003,11, KY
Boone County,2003,11, MO
Bossier Parish,2003,16, LA
Boulder County,2003,20, CO
Brazoria County,2003,13, TX
Brevard County,2003,97, FL
Bristol County,2003,110, MA
Bronx County,2003,192, NY
Broward County,2003,230, FL
Brunswick County,2003,10, NC
Bucks County,2003,69, PA
Buncombe County,2003,22, NC
Burke County,2003,10, NC
Burlington County,2003,26, NJ
Butler County,2003,41, OH
Butler County,2003,13, PA
Butte County,2003,40, CA
Cabell County,2003,19, WV
Caddo Parish,2003,22, LA
Calcasieu Parish,2003,25, LA
Calhoun County,2003,15, MI
Cambria County,2003,20, PA
Camden County,2003,49, NJ
Campbell County,2003,13, KY
Carroll County,2003,23, MD
Catawba County,2003,17, NC
Cecil County,2003,13, MD
Charleston County,2003,16, SC
Chaves County,2003,18, NM
Cherokee County,2003,13, GA
Chesapeake city,2003,14, VA
Chester County,2003,16, PA
Chesterfield County,2003,12, VA
Citrus County,2003,16, FL
Clackamas County,2003,28, OR
Clark County,2003,20, IN
Clark County,2003,247, NV
Clark County,2003,11, OH
Clark County,2003,40, WA
Clay County,2003,16, FL
Clay County,2003,20, MO
Clayton County,2003,18, GA
Clermont County,2003,11, OH
Cleveland County,2003,12, NC
Cleveland County,2003,15, OK
Cobb County,2003,34, GA
Cochise County,2003,11, AZ
Coconino County,2003,11, AZ
Collier County,2003,29, FL
Collin County,2003,26, TX
Comal County,2003,10, TX
Contra Costa County,2003,64, CA
Cook County,2003,454, IL
Cumberland County,2003,26, ME
Cumberland County,2003,13, NC
Cumberland County,2003,14, NJ
Cuyahoga County,2003,99, OH
Dallas County,2003,199, TX
Dane County,2003,24, WI
Dauphin County,2003,10, PA
Davidson County,2003,18, NC
Davidson County,2003,72, TN
Davis County,2003,21, UT
DeKalb County,2003,39, GA
Delaware County,2003,18, IN
Delaware County,2003,75, PA
Denton County,2003,18, TX
Denver County,2003,107, CO
District of Columbia,2003,106, DC
Dona Ana County,2003,19, NM
Douglas County,2003,10, OR
DuPage County,2003,48, IL
Durham County,2003,14, NC
Duval County,2003,127, FL
East Baton Rouge Parish,2003,22, LA
Ector County,2003,15, TX
El Dorado County,2003,10, CA
El Paso County,2003,53, CO
El Paso County,2003,52, TX
Erie County,2003,16, PA
Escambia County,2003,27, FL
Essex County,2003,99, MA
Essex County,2003,108, NJ
Fairfax County,2003,28, VA
Fairfield County,2003,64, CT
Fayette County,2003,30, KY
Fayette County,2003,19, PA
Floyd County,2003,11, KY
Forsyth County,2003,20, NC
Fort Bend County,2003,11, TX
Franklin County,2003,74, OH
Frederick County,2003,10, MD
Fresno County,2003,84, CA
Fulton County,2003,75, GA
Galveston County,2003,27, TX
Gaston County,2003,29, NC
Genesee County,2003,34, MI
Gloucester County,2003,25, NJ
Greene County,2003,40, MO
Greene County,2003,15, OH
Greenville County,2003,32, SC
Guilford County,2003,29, NC
Gwinnett County,2003,21, GA
Hamilton County,2003,73, OH
Hamilton County,2003,28, TN
Hampden County,2003,50, MA
Hampshire County,2003,10, MA
Hancock County,2003,11, MS
Harford County,2003,37, MD
Harlan County,2003,13, KY
Harris County,2003,337, TX
Harrison County,2003,29, MS
Hartford County,2003,90, CT
Hawaii County,2003,11, HI
Henderson County,2003,13, NC
Hennepin County,2003,82, MN
Henrico County,2003,22, VA
Hernando County,2003,15, FL
Highlands County,2003,10, FL
Hillsborough County,2003,138, FL
Hillsborough County,2003,23, NH
Honolulu County,2003,62, HI
Horry County,2003,36, SC
Howard County,2003,17, MD
Hudson County,2003,47, NJ
Humboldt County,2003,38, CA
Indian River County,2003,10, FL
Ingham County,2003,14, MI
Iredell County,2003,12, NC
Jackson County,2003,48, MO
Jackson County,2003,23, MS
Jackson County,2003,17, OR
Jefferson County,2003,69, AL
Jefferson County,2003,50, CO
Jefferson County,2003,88, KY
Jefferson County,2003,13, MO
Jefferson County,2003,11, OH
Jefferson County,2003,16, TX
Jefferson Parish,2003,86, LA
Johnson County,2003,28, KS
Kalamazoo County,2003,11, MI
Kanawha County,2003,27, WV
Kent County,2003,10, DE
Kent County,2003,31, MI
Kent County,2003,22, RI
Kenton County,2003,31, KY
Kern County,2003,110, CA
King County,2003,205, WA
Kings County,2003,249, NY
Kitsap County,2003,23, WA
Knox County,2003,74, TN
Lackawanna County,2003,28, PA
Lafayette Parish,2003,24, LA
Lake County,2003,17, FL
Lake County,2003,37, IL
Lake County,2003,29, IN
Lancaster County,2003,25, PA
Lane County,2003,18, OR
Larimer County,2003,23, CO
Lawrence County,2003,10, PA
Lee County,2003,77, FL
Lehigh County,2003,33, PA
Leon County,2003,11, FL
Lexington County,2003,12, SC
Licking County,2003,11, OH
Litchfield County,2003,12, CT
Livingston Parish,2003,23, LA
Lorain County,2003,13, OH
Los Angeles County,2003,862, CA
Lubbock County,2003,14, TX
Lucas County,2003,19, OH
Luzerne County,2003,46, PA
Macomb County,2003,106, MI
Madera County,2003,14, CA
Madison County,2003,13, IL
Madison County,2003,21, IN
Madison County,2003,12, KY
Mahoning County,2003,14, OH
Manatee County,2003,42, FL
Maricopa County,2003,415, AZ
Marin County,2003,19, CA
Marion County,2003,43, FL
Marion County,2003,74, IN
Marion County,2003,23, OR
Martin County,2003,15, FL
Matanuska-Susitna Borough,2003,11, AK
McHenry County,2003,13, IL
McLean County,2003,10, IL
Mecklenburg County,2003,38, NC
Mendocino County,2003,15, CA
Merced County,2003,18, CA
Mercer County,2003,15, NJ
Mercer County,2003,13, PA
Mercer County,2003,11, WV
Merrimack County,2003,14, NH
Miami-Dade County,2003,111, FL
Middlesex County,2003,161, MA
Middlesex County,2003,55, NJ
Milwaukee County,2003,154, WI
Mingo County,2003,10, WV
Missoula County,2003,11, MT
Mobile County,2003,26, AL
Mohave County,2003,11, AZ
Monmouth County,2003,52, NJ
Monroe County,2003,17, FL
Monroe County,2003,17, PA
Monterey County,2003,29, CA
Montgomery County,2003,28, MD
Montgomery County,2003,52, OH
Montgomery County,2003,67, PA
Montgomery County,2003,57, TX
Morris County,2003,30, NJ
Multnomah County,2003,147, OR
Muscogee County,2003,13, GA
Muskegon County,2003,12, MI
Napa County,2003,13, CA
Nassau County,2003,32, NY
New Castle County,2003,54, DE
New Hanover County,2003,20, NC
New Haven County,2003,80, CT
New London County,2003,29, CT
New York County,2003,232, NY
Newport News city,2003,10, VA
Norfolk County,2003,41, MA
Norfolk city,2003,10, VA
Northampton County,2003,13, PA
Nueces County,2003,37, TX
Oakland County,2003,113, MI
Ocean County,2003,34, NJ
Okaloosa County,2003,20, FL
Oklahoma County,2003,75, OK
Onondaga County,2003,10, NY
Orange County,2003,228, CA
Orange County,2003,83, FL
Orange County,2003,17, TX
Orleans Parish,2003,65, LA
Osceola County,2003,12, FL
Palm Beach County,2003,199, FL
Parker County,2003,13, TX
Pasco County,2003,62, FL
Passaic County,2003,28, NJ
Penobscot County,2003,15, ME
Perry County,2003,12, KY
Philadelphia County,2003,297, PA
Pierce County,2003,87, WA
Pike County,2003,19, KY
Pima County,2003,159, AZ
Pinal County,2003,18, AZ
Pinellas County,2003,135, FL
Pitt County,2003,11, NC
Placer County,2003,28, CA
Plymouth County,2003,48, MA
Polk County,2003,42, FL
Polk County,2003,13, IA
Portsmouth city,2003,13, VA
Prince George's County,2003,62, MD
Prince William County,2003,13, VA
Providence County,2003,81, RI
Pueblo County,2003,10, CO
Pulaski County,2003,18, AR
Queens County,2003,171, NY
Racine County,2003,23, WI
Raleigh County,2003,14, WV
Ramsey County,2003,25, MN
Richland County,2003,26, SC
Richmond County,2003,14, GA
Richmond County,2003,26, NY
Richmond city,2003,30, VA
Rio Arriba County,2003,12, NM
Riverside County,2003,174, CA
Roanoke city,2003,13, VA
Rockdale County,2003,11, GA
Rockingham County,2003,11, NC
Rockingham County,2003,19, NH
Rowan County,2003,10, NC
Russell County,2003,13, VA
Rutherford County,2003,10, NC
Rutherford County,2003,14, TN
Sacramento County,2003,168, CA
Saginaw County,2003,16, MI
Salt Lake County,2003,164, UT
San Bernardino County,2003,167, CA
San Diego County,2003,305, CA
San Francisco County,2003,147, CA
San Joaquin County,2003,67, CA
San Juan County,2003,12, NM
San Luis Obispo County,2003,10, CA
San Mateo County,2003,51, CA
Sandoval County,2003,11, NM
Santa Barbara County,2003,44, CA
Santa Clara County,2003,78, CA
Santa Cruz County,2003,32, CA
Santa Fe County,2003,24, NM
Santa Rosa County,2003,21, FL
Sarasota County,2003,62, FL
Schuylkill County,2003,10, PA
Sedgwick County,2003,46, KS
Seminole County,2003,33, FL
Shasta County,2003,31, CA
Shelby County,2003,37, TN
Skagit County,2003,12, WA
Snohomish County,2003,76, WA
Solano County,2003,29, CA
Somerset County,2003,18, NJ
Somerset County,2003,10, PA
Sonoma County,2003,42, CA
Spartanburg County,2003,21, SC
Spokane County,2003,74, WA
St. Bernard Parish,2003,29, LA
St. Charles County,2003,12, MO
St. Clair County,2003,11, MI
St. Francois County,2003,12, MO
St. Landry Parish,2003,10, LA
St. Louis County,2003,15, MN
St. Louis County,2003,70, MO
St. Louis city,2003,49, MO
St. Lucie County,2003,21, FL
St. Tammany Parish,2003,40, LA
Stanislaus County,2003,82, CA
Stark County,2003,10, OH
Strafford County,2003,12, NH
Suffolk County,2003,129, MA
Suffolk County,2003,22, NY
Summit County,2003,48, OH
Sumner County,2003,14, TN
Sussex County,2003,13, NJ
Tarrant County,2003,151, TX
Taylor County,2003,15, TX
Tazewell County,2003,14, VA
Terrebonne Parish,2003,19, LA
Thurston County,2003,17, WA
Tom Green County,2003,12, TX
Travis County,2003,89, TX
Trumbull County,2003,20, OH
Tulare County,2003,31, CA
Tulsa County,2003,100, OK
Union County,2003,39, NJ
Utah County,2003,56, UT
Valencia County,2003,17, NM
Vanderburgh County,2003,15, IN
Ventura County,2003,87, CA
Virginia Beach city,2003,19, VA
Volusia County,2003,48, FL
Wake County,2003,41, NC
Warren County,2003,10, KY
Warren County,2003,10, NJ
Warren County,2003,14, OH
Washington County,2003,17, OR
Washington County,2003,22, PA
Washington County,2003,11, UT
Washoe County,2003,59, NV
Washtenaw County,2003,15, MI
Waukesha County,2003,17, WI
Wayne County,2003,343, MI
Webb County,2003,10, TX
Weber County,2003,21, UT
Weld County,2003,11, CO
Westchester County,2003,15, NY
Westmoreland County,2003,32, PA
Whatcom County,2003,14, WA
Whitley County,2003,11, KY
Wichita County,2003,16, TX
Wilkes County,2003,15, NC
Will County,2003,26, IL
Williamson County,2003,11, TX
Wilson County,2003,12, TN
Windham County,2003,14, CT
Winnebago County,2003,25, IL
Worcester County,2003,92, MA
Wyoming County,2003,11, WV
Yakima County,2003,10, WA
Yavapai County,2003,15, AZ
Yellowstone County,2003,11, MT
York County,2003,16, ME
York County,2003,25, PA
York County,2003,10, SC
Ada County,2004,21, ID
Adams County,2004,46, CO
Aiken County,2004,16, SC
Alameda County,2004,154, CA
Allegheny County,2004,195, PA
Allen County,2004,20, IN
Anchorage Borough,2004,26, AK
Anderson County,2004,18, SC
Anderson County,2004,11, TX
Anne Arundel County,2004,53, MD
Anoka County,2004,14, MN
Arapahoe County,2004,65, CO
Atlantic County,2004,40, NJ
Baldwin County,2004,18, AL
Baltimore County,2004,104, MD
Baltimore city,2004,247, MD
Barnstable County,2004,21, MA
Bartow County,2004,13, GA
Bay County,2004,18, FL
Beaver County,2004,18, PA
Bell County,2004,15, KY
Benton County,2004,12, WA
Bergen County,2004,43, NJ
Berkeley County,2004,10, SC
Berks County,2004,22, PA
Bernalillo County,2004,128, NM
Bexar County,2004,168, TX
Bibb County,2004,11, GA
Blair County,2004,12, PA
Blount County,2004,12, TN
Boone County,2004,12, MO
Boone County,2004,11, WV
Boulder County,2004,20, CO
Brazoria County,2004,19, TX
Brevard County,2004,111, FL
Bristol County,2004,94, MA
Bronx County,2004,175, NY
Broward County,2004,287, FL
Brown County,2004,11, WI
Brunswick County,2004,11, NC
Bucks County,2004,65, PA
Buncombe County,2004,31, NC
Burke County,2004,17, NC
Burlington County,2004,27, NJ
Butler County,2004,39, OH
Butler County,2004,12, PA
Butte County,2004,31, CA
Cabarrus County,2004,17, NC
Cabell County,2004,20, WV
Caddo Parish,2004,37, LA
Calcasieu Parish,2004,18, LA
Caldwell County,2004,16, NC
Calhoun County,2004,23, MI
Cambria County,2004,29, PA
Camden County,2004,62, NJ
Cameron County,2004,16, TX
Campbell County,2004,10, KY
Canadian County,2004,10, OK
Carroll County,2004,14, GA
Carroll County,2004,14, MD
Carson City,2004,10, NV
Carteret County,2004,12, NC
Catawba County,2004,17, NC
Catoosa County,2004,11, GA
Cecil County,2004,17, MD
Centre County,2004,10, PA
Champaign County,2004,15, IL
Charleston County,2004,28, SC
Charlotte County,2004,17, FL
Chatham County,2004,22, GA
Chaves County,2004,12, NM
Cherokee County,2004,10, GA
Chesapeake city,2004,12, VA
Chester County,2004,29, PA
Citrus County,2004,12, FL
Clackamas County,2004,28, OR
Clallam County,2004,11, WA
Clark County,2004,11, IN
Clark County,2004,292, NV
Clark County,2004,25, OH
Clark County,2004,27, WA
Clay County,2004,22, FL
Clay County,2004,10, KY
Clay County,2004,11, MO
Clayton County,2004,18, GA
Clearfield County,2004,14, PA
Clermont County,2004,26, OH
Cleveland County,2004,10, OK
Clinton County,2004,12, OH
Cobb County,2004,44, GA
Collier County,2004,29, FL
Collin County,2004,40, TX
Contra Costa County,2004,102, CA
Cook County,2004,512, IL
Coweta County,2004,10, GA
Cowlitz County,2004,17, WA
Craven County,2004,13, NC
Creek County,2004,15, OK
Cumberland County,2004,29, ME
Cumberland County,2004,18, NC
Cumberland County,2004,12, NJ
Cumberland County,2004,10, PA
Cuyahoga County,2004,146, OH
Dallas County,2004,198, TX
Dane County,2004,39, WI
Dauphin County,2004,18, PA
Davidson County,2004,21, NC
Davidson County,2004,81, TN
Davis County,2004,17, UT
DeKalb County,2004,25, GA
Delaware County,2004,12, IN
Delaware County,2004,75, PA
Denton County,2004,18, TX
Denver County,2004,111, CO
District of Columbia,2004,102, DC
Dona Ana County,2004,17, NM
Douglas County,2004,13, NE
DuPage County,2004,44, IL
Durham County,2004,14, NC
Duval County,2004,109, FL
East Baton Rouge Parish,2004,17, LA
Ector County,2004,11, TX
El Dorado County,2004,13, CA
El Paso County,2004,60, CO
El Paso County,2004,26, TX
Elkhart County,2004,10, IN
Erie County,2004,36, PA
Escambia County,2004,33, FL
Essex County,2004,80, MA
Essex County,2004,81, NJ
Fairfax County,2004,17, VA
Fairfield County,2004,51, CT
Fairfield County,2004,13, OH
Fayette County,2004,34, KY
Fayette County,2004,21, PA
Floyd County,2004,13, KY
Forsyth County,2004,18, NC
Franklin County,2004,106, OH
Frederick County,2004,11, MD
Fresno County,2004,96, CA
Fulton County,2004,78, GA
Galveston County,2004,29, TX
Gaston County,2004,39, NC
Genesee County,2004,68, MI
Gloucester County,2004,28, NJ
Grady County,2004,10, OK
Grant County,2004,14, WA
Grays Harbor County,2004,17, WA
Greene County,2004,32, MO
Greene County,2004,16, OH
Greene County,2004,11, TN
Greenville County,2004,28, SC
Guilford County,2004,33, NC
Gwinnett County,2004,21, GA
Hall County,2004,14, GA
Hamilton County,2004,92, OH
Hamilton County,2004,18, TN
Hampden County,2004,33, MA
Hampshire County,2004,12, MA
Hancock County,2004,13, MS
Harford County,2004,22, MD
Harris County,2004,385, TX
Harrison County,2004,29, MS
Hartford County,2004,83, CT
Hawaii County,2004,11, HI
Henderson County,2004,19, NC
Hennepin County,2004,67, MN
Henrico County,2004,16, VA
Hernando County,2004,14, FL
Hidalgo County,2004,11, TX
Hillsborough County,2004,146, FL
Hillsborough County,2004,28, NH
Honolulu County,2004,89, HI
Horry County,2004,27, SC
Howard County,2004,12, IN
Howard County,2004,11, MD
Hudson County,2004,48, NJ
Humboldt County,2004,25, CA
Imperial County,2004,10, CA
Indian River County,2004,10, FL
Ingham County,2004,23, MI
Iredell County,2004,18, NC
Jackson County,2004,12, GA
Jackson County,2004,13, MI
Jackson County,2004,67, MO
Jackson County,2004,25, MS
Jackson County,2004,27, OR
Jefferson County,2004,63, AL
Jefferson County,2004,40, CO
Jefferson County,2004,70, KY
Jefferson County,2004,13, MO
Jefferson County,2004,17, TX
Jefferson Parish,2004,88, LA
Johnson County,2004,12, IN
Johnson County,2004,25, KS
Johnston County,2004,10, NC
Kalamazoo County,2004,15, MI
Kanawha County,2004,29, WV
Kane County,2004,19, IL
Kenai Peninsula Borough,2004,12, AK
Kennebec County,2004,21, ME
Kenosha County,2004,12, WI
Kent County,2004,34, MI
Kent County,2004,19, RI
Kenton County,2004,10, KY
Kern County,2004,104, CA
King County,2004,245, WA
Kings County,2004,11, CA
Kings County,2004,262, NY
Kitsap County,2004,16, WA
Knox County,2004,85, TN
LaSalle County,2004,13, IL
Lackawanna County,2004,27, PA
Lafayette Parish,2004,25, LA
Lafourche Parish,2004,10, LA
Lake County,2004,10, FL
Lake County,2004,45, IL
Lake County,2004,31, IN
Lake County,2004,13, OH
Lancaster County,2004,34, PA
Lane County,2004,36, OR
Larimer County,2004,28, CO
Lauderdale County,2004,10, MS
Lawrence County,2004,16, PA
Lee County,2004,98, FL
Lee County,2004,11, VA
Lehigh County,2004,37, PA
Lexington County,2004,10, SC
Licking County,2004,13, OH
Linn County,2004,11, IA
Litchfield County,2004,18, CT
Livingston Parish,2004,16, LA
Logan County,2004,14, WV
Lorain County,2004,13, OH
Los Angeles County,2004,815, CA
Lubbock County,2004,17, TX
Lucas County,2004,33, OH
Luzerne County,2004,49, PA
Macomb County,2004,109, MI
Madera County,2004,11, CA
Madison County,2004,12, AL
Madison County,2004,24, IL
Madison County,2004,20, IN
Mahoning County,2004,16, OH
Manatee County,2004,46, FL
Maricopa County,2004,450, AZ
Marin County,2004,16, CA
Marion County,2004,18, FL
Marion County,2004,96, IN
Marion County,2004,23, OR
Martin County,2004,16, FL
McHenry County,2004,16, IL
McLennan County,2004,11, TX
Mecklenburg County,2004,40, NC
Merced County,2004,11, CA
Mercer County,2004,14, NJ
Mercer County,2004,13, PA
Mercer County,2004,12, WV
Merrimack County,2004,14, NH
Miami-Dade County,2004,145, FL
Middlesex County,2004,15, CT
Middlesex County,2004,113, MA
Middlesex County,2004,30, NJ
Mifflin County,2004,10, PA
Milwaukee County,2004,171, WI
Mobile County,2004,27, AL
Mohave County,2004,10, AZ
Monmouth County,2004,29, NJ
Monroe County,2004,14, FL
Monroe County,2004,11, IN
Monroe County,2004,11, NY
Monroe County,2004,10, PA
Monterey County,2004,43, CA
Montgomery County,2004,10, AL
Montgomery County,2004,29, MD
Montgomery County,2004,137, OH
Montgomery County,2004,77, PA
Montgomery County,2004,28, TX
Morgan County,2004,11, AL
Morris County,2004,18, NJ
Multnomah County,2004,146, OR
Muskegon County,2004,12, MI
Muskogee County,2004,14, OK
Nassau County,2004,13, FL
Nassau County,2004,26, NY
Navajo County,2004,12, AZ
New Castle County,2004,67, DE
New Hanover County,2004,23, NC
New Haven County,2004,87, CT
New London County,2004,25, CT
New York County,2004,176, NY
Newport County,2004,10, RI
Newport News city,2004,16, VA
Norfolk County,2004,47, MA
Norfolk city,2004,15, VA
Northampton County,2004,16, PA
Nueces County,2004,29, TX
Oakland County,2004,121, MI
Ocean County,2004,28, NJ
Oconee County,2004,10, SC
Okaloosa County,2004,22, FL
Oklahoma County,2004,99, OK
Orange County,2004,256, CA
Orange County,2004,97, FL
Orange County,2004,18, TX
Orleans Parish,2004,76, LA
Osceola County,2004,13, FL
Palm Beach County,2004,209, FL
Parker County,2004,10, TX
Pasco County,2004,83, FL
Passaic County,2004,33, NJ
Paulding County,2004,12, GA
Pearl River County,2004,11, MS
Penobscot County,2004,11, ME
Perry County,2004,12, KY
Philadelphia County,2004,334, PA
Pickens County,2004,15, SC
Pierce County,2004,72, WA
Pike County,2004,11, KY
Pima County,2004,165, AZ
Pinal County,2004,17, AZ
Pinellas County,2004,182, FL
Pitt County,2004,11, NC
Placer County,2004,20, CA
Plymouth County,2004,28, MA
Polk County,2004,62, FL
Polk County,2004,14, IA
Portage County,2004,10, OH
Portsmouth city,2004,16, VA
Prince George's County,2004,54, MD
Prince William County,2004,10, VA
Providence County,2004,62, RI
Pulaski County,2004,35, AR
Putnam County,2004,10, FL
Putnam County,2004,11, TN
Queens County,2004,133, NY
Racine County,2004,13, WI
Raleigh County,2004,18, WV
Ramsey County,2004,29, MN
Richland County,2004,14, SC
Richmond County,2004,16, GA
Richmond County,2004,45, NY
Richmond city,2004,28, VA
Rio Arriba County,2004,19, NM
Riverside County,2004,187, CA
Roane County,2004,10, TN
Roanoke city,2004,13, VA
Rockingham County,2004,25, NH
Rowan County,2004,21, NC
Russell County,2004,11, VA
Rutherford County,2004,13, TN
Sacramento County,2004,200, CA
Saginaw County,2004,10, MI
Salt Lake County,2004,191, UT
San Bernardino County,2004,200, CA
San Diego County,2004,314, CA
San Francisco County,2004,128, CA
San Joaquin County,2004,85, CA
San Luis Obispo County,2004,23, CA
San Mateo County,2004,44, CA
Santa Barbara County,2004,27, CA
Santa Clara County,2004,110, CA
Santa Cruz County,2004,18, CA
Santa Fe County,2004,19, NM
Santa Rosa County,2004,18, FL
Sarasota County,2004,59, FL
Schuylkill County,2004,22, PA
Scioto County,2004,14, OH
Sedgwick County,2004,50, KS
Seminole County,2004,23, FL
Sevier County,2004,10, TN
Shasta County,2004,35, CA
Shawnee County,2004,13, KS
Shelby County,2004,57, TN
Skagit County,2004,13, WA
Smith County,2004,15, TX
Snohomish County,2004,100, WA
Solano County,2004,18, CA
Sonoma County,2004,48, CA
Spalding County,2004,11, GA
Spartanburg County,2004,38, SC
Spokane County,2004,78, WA
St. Bernard Parish,2004,17, LA
St. Charles County,2004,18, MO
St. Charles Parish,2004,12, LA
St. Clair County,2004,13, IL
St. Francois County,2004,18, MO
St. Johns County,2004,10, FL
St. Joseph County,2004,15, IN
St. Louis County,2004,79, MO
St. Louis city,2004,42, MO
St. Lucie County,2004,27, FL
St. Tammany Parish,2004,44, LA
Stanislaus County,2004,88, CA
Stark County,2004,15, OH
Strafford County,2004,10, NH
Suffolk County,2004,94, MA
Suffolk County,2004,12, NY
Sullivan County,2004,26, TN
Summit County,2004,59, OH
Sussex County,2004,11, DE
Sussex County,2004,11, NJ
Tangipahoa Parish,2004,17, LA
Tarrant County,2004,121, TX
Taylor County,2004,10, TX
Tazewell County,2004,10, IL
Tazewell County,2004,13, VA
Terrebonne Parish,2004,17, LA
Thurston County,2004,20, WA
Travis County,2004,91, TX
Trumbull County,2004,38, OH
Tulare County,2004,39, CA
Tulsa County,2004,99, OK
Tuolumne County,2004,14, CA
Union County,2004,34, NJ
Utah County,2004,48, UT
Valencia County,2004,15, NM
Vanderburgh County,2004,16, IN
Venango County,2004,13, PA
Ventura County,2004,55, CA
Virginia Beach city,2004,25, VA
Volusia County,2004,74, FL
Wake County,2004,27, NC
Warren County,2004,11, OH
Washington County,2004,18, OR
Washington County,2004,28, PA
Washoe County,2004,45, NV
Washtenaw County,2004,12, MI
Waukesha County,2004,10, WI
Wayne County,2004,386, MI
Wayne County,2004,11, PA
Webb County,2004,10, TX
Weber County,2004,25, UT
Westmoreland County,2004,30, PA
Whatcom County,2004,12, WA
Whitfield County,2004,10, GA
Wichita County,2004,12, TX
Will County,2004,37, IL
Williamson County,2004,10, TN
Williamson County,2004,12, TX
Wilson County,2004,12, TN
Windham County,2004,10, CT
Winnebago County,2004,33, IL
Winnebago County,2004,12, WI
Wise County,2004,13, VA
Worcester County,2004,36, MA
Wyandotte County,2004,16, KS
Wyoming County,2004,11, WV
Yakima County,2004,29, WA
Yavapai County,2004,48, AZ
York County,2004,16, ME
York County,2004,31, PA
York County,2004,11, SC
Acadia Parish,2005,23, LA
Ada County,2005,20, ID
Adams County,2005,63, CO
Aiken County,2005,13, SC
Alamance County,2005,11, NC
Alameda County,2005,172, CA
Allegheny County,2005,207, PA
Allen County,2005,24, IN
Anchorage Borough,2005,28, AK
Anderson County,2005,19, SC
Anderson County,2005,13, TN
Anne Arundel County,2005,58, MD
Anoka County,2005,14, MN
Arapahoe County,2005,54, CO
Ascension Parish,2005,10, LA
Atlantic County,2005,35, NJ
Baldwin County,2005,14, AL
Baltimore County,2005,111, MD
Baltimore city,2005,231, MD
Barnstable County,2005,20, MA
Bay County,2005,17, FL
Beaver County,2005,14, PA
Bell County,2005,17, KY
Bell County,2005,10, TX
Benton County,2005,10, AR
Benton County,2005,13, WA
Bergen County,2005,48, NJ
Berkeley County,2005,13, SC
Berkeley County,2005,10, WV
Berks County,2005,27, PA
Berkshire County,2005,18, MA
Bernalillo County,2005,164, NM
Berrien County,2005,15, MI
Bexar County,2005,202, TX
Bibb County,2005,24, GA
Blair County,2005,21, PA
Blount County,2005,16, TN
Boone County,2005,10, KY
Boone County,2005,11, MO
Bossier Parish,2005,17, LA
Boulder County,2005,26, CO
Brazoria County,2005,31, TX
Brevard County,2005,119, FL
Bristol County,2005,79, MA
Bronx County,2005,189, NY
Broward County,2005,320, FL
Brunswick County,2005,17, NC
Buchanan County,2005,10, VA
Bucks County,2005,70, PA
Buncombe County,2005,35, NC
Burke County,2005,14, NC
Burlington County,2005,30, NJ
Butler County,2005,52, OH
Butler County,2005,10, PA
Butte County,2005,25, CA
Cabarrus County,2005,28, NC
Cabell County,2005,11, WV
Caddo Parish,2005,25, LA
Calcasieu Parish,2005,47, LA
Caldwell County,2005,10, NC
Calhoun County,2005,14, MI
Cambria County,2005,25, PA
Camden County,2005,92, NJ
Cameron County,2005,19, TX
Campbell County,2005,16, KY
Cape May County,2005,16, NJ
Carbon County,2005,10, PA
Carroll County,2005,16, GA
Carroll County,2005,18, MD
Carteret County,2005,11, NC
Catawba County,2005,12, NC
Catoosa County,2005,11, GA
Cecil County,2005,12, MD
Champaign County,2005,12, IL
Charleston County,2005,24, SC
Charlotte County,2005,11, FL
Chatham County,2005,11, GA
Chaves County,2005,13, NM
Cherokee County,2005,17, GA
Chesapeake city,2005,13, VA
Chester County,2005,28, PA
Chesterfield County,2005,13, VA
Citrus County,2005,14, FL
Clackamas County,2005,23, OR
Clallam County,2005,10, WA
Clark County,2005,336, NV
Clark County,2005,15, OH
Clark County,2005,40, WA
Clay County,2005,14, FL
Clay County,2005,11, MO
Clayton County,2005,17, GA
Clearfield County,2005,11, PA
Clermont County,2005,22, OH
Cleveland County,2005,10, NC
Cleveland County,2005,15, OK
Cobb County,2005,40, GA
Cochise County,2005,10, AZ
Collier County,2005,43, FL
Collin County,2005,32, TX
Columbia County,2005,10, FL
Columbia County,2005,14, GA
Columbus County,2005,11, NC
Contra Costa County,2005,103, CA
Cook County,2005,529, IL
Coweta County,2005,11, GA
Cowlitz County,2005,24, WA
Craven County,2005,10, NC
Cumberland County,2005,25, ME
Cumberland County,2005,25, NC
Cumberland County,2005,13, NJ
